key,role_1,role_2,role_3,role_4,role_5
516,4,2,5,1,3
111,2,4,1,5,3
61,5,2,4,3,1
58,4,5,1,2,3
145,3,5,4,2,1
10,4,5,2,3,1
92,4,5,1,2,3
143,2,5,3,4,1
37,2,5,3,4,1
115,5,3,2,4,1
78,1,4,2,5,3
79,4,1,5,2,3
113,1,4,2,5,3
222,3,5,4,2,1
24,4,1,5,2,3
96,3,5,2,4,1
14,4,5,1,2,3
98,4,2,1,5,3
240,4,5,2,1,3
75,4,1,2,5,3
711,5,2,4,3,1
876,1,4,5,2,3
12,2,4,5,1,3
42,5,3,4,2,1
36,4,1,5,2,3
16,2,4,5,3,1
497,2,5,4,1,3
4,5,2,3,4,1
106,1,4,5,2,3
81,3,5,4,2,1
26,2,5,4,3,1
254,1,5,4,2,3
360,3,5,4,2,1
107,1,4,3,2,5
200,1,4,5,2,3
266,4,5,1,2,3
105,5,4,2,1,3
64,1,4,5,2,3
34,5,2,4,3,1
77,1,4,5,2,3
32,2,1,4,5,3
238,5,1,4,2,3
221,3,5,4,2,1
82,4,1,5,2,3
8,5,4,3,2,1
5,1,4,5,2,3
121,1,4,5,2,3
3,5,2,4,1,3
19,1,4,5,2,3
102,1,4,5,2,3
90,5,4,2,3,1
9,1,2,5,4,3
103,5,2,4,3,1
7,5,2,4,3,1
154,1,4,2,5,3
50,2,5,4,3,1
887,4,1,5,3,2
55,5,4,3,2,1
13,5,4,2,3,1
44,2,1,4,5,3
203,1,3,5,4,2
235,2,3,4,5,1
120,1,4,5,2,3
74,5,4,2,3,1
68,4,5,1,2,3
89,2,4,1,5,3
57,4,2,1,5,3
2,4,1,5,3,2
888,2,5,4,3,1
163,5,1,2,3,4
157,5,4,3,1,2
45,5,2,3,4,1
142,5,2,4,3,1
11,1,4,5,3,2
432,2,4,5,1,3
421,1,4,5,2,3
40,2,4,5,3,1
15,3,5,4,2,1
29,3,1,2,5,4
17,4,2,5,1,3
85,4,5,2,3,1
895,3,4,5,1,2
63,2,5,3,4,1
25,2,5,1,4,3
126,4,5,3,2,1
39,5,4,3,1,2
28,1,4,5,2,3
54,4,2,5,1,3
166,5,4,3,2,1
59,1,2,4,5,3
420,4,5,2,3,1
67,3,4,5,1,2
80,2,1,5,4,3
246,5,1,4,2,3
429,3,4,5,2,1
122,4,1,5,2,3
18,3,5,4,1,2
27,4,5,2,1,3
35,1,2,4,5,3
268,5,4,2,3,1
83,4,5,1,2,3
69,5,4,3,2,1
523,3,5,4,2,1
110,3,5,4,2,1
23,4,5,1,3,2
136,5,4,2,3,1
99,2,5,3,4,1
526,2,4,5,1,3
84,5,4,2,3,1
147,2,3,5,4,1
555,2,5,3,4,1
518,5,2,4,3,1
131,1,5,4,2,3
72,1,4,5,2,3
114,4,5,1,2,3
133,4,5,3,1,2
31,4,5,1,2,3
777,5,4,3,1,2
202,3,5,4,2,1
43,2,5,4,3,1
6,4,5,1,2,3
41,4,5,3,2,1
76,1,2,4,5,3
161,2,5,3,4,1
427,1,2,5,4,3
236,3,5,4,2,1
30,1,3,5,4,2
150,4,5,3,2,1
104,1,4,5,3,2
20,1,5,2,4,3
350,2,1,5,3,4
412,2,4,3,5,1
267,2,5,3,4,1
22,3,2,4,5,1
21,3,2,5,4,1
141,1,4,5,2,3
62,1,4,5,2,3
117,2,5,4,3,1
517,5,4,2,1,3
56,1,4,5,2,3
48,1,4,2,5,3
134,5,2,3,4,1
101,2,5,3,4,1
38,5,4,1,2,3
201,2,4,1,5,3
127,5,4,2,3,1
91,5,1,4,2,3
223,4,2,3,5,1
51,3,5,4,2,1
1,5,2,4,3,1
60,1,2,5,4,3
498,3,5,4,2,1
875,4,5,2,1,3
33,1,4,2,5,3
164,4,5,2,1,3
112,5,4,3,2,1
119,3,4,5,1,2
53,2,1,5,4,3
234,1,5,4,2,3
245,1,5,4,2,3
86,4,5,1,2,3
